Ligand_WB,Receptor_WB,Ligand_symbol,Receptor_symbol,score,index,LR Function,L Function,R Function,Ligand_desc,Receptor_desc
WBGene00000857,WBGene00003238,cwn-1,mig-1,1.0,60,Wnt signaling,Wnt,Frizzled,"Is an ortholog of human WNT4 (Wnt family member 4). Exhibits receptor tyrosine kinase binding activity. Is involved in several processes, including generation of neurons; neuroblast migration; and regulation of vulval development. Is expressed in several structures, including CAN; hypodermal cell; intestine; muscle cell; and somatic nervous system. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).",Is predicted to have Wnt-activated receptor activity and Wnt-protein binding activity. Is involved in generation of neurons; mitochondrial unfolded protein response; and neuroblast migration. Is expressed in anal depressor muscle; head muscle; and neurons. Human ortholog(s) of this gene are implicated in nonsyndromic congenital nail disorder 10 and omodysplasia.
WBGene00006750,WBGene00006765,unc-10,unc-29,1.0,62,Neuronal communication,Organization of presynaptic sites,Cholinergic Receptor,"Is an ortholog of human RIMS1 (regulating synaptic membrane exocytosis 1). Exhibits Rab GTPase binding activity and protein C-terminus binding activity. Is involved in several processes, including chemical synaptic transmission; defecation; and positive regulation of cholinergic synaptic transmission. Localizes to axon and presynaptic active zone. Is expressed in dorsal nerve cord; nerve ring; and ventral nerve cord. Human ortholog(s) of this gene are implicated in cone-rod dystrophy 7.","Is an ortholog of several human genes including CHRNB2 (cholinergic receptor nicotinic beta 2 subunit); CHRNB3 (cholinergic receptor nicotinic beta 3 subunit); and CHRNB4 (cholinergic receptor nicotinic beta 4 subunit). Exhibits acetylcholine-gated cation-selective channel activity. Is involved in several processes, including neuromuscular synaptic transmission; positive regulation of acetylcholine secretion, neurotransmission; and positive regulation of locomotion involved in locomotory behavior. Localizes to neuron projection; neuronal cell body; and postsynaptic membrane. Is expressed in body wall musculature; head neurons; non-striated muscle; and somatic nervous system."
WBGene00003111,WBGene00004048,mab-20,plx-2,1.0,86,Cell migration,Semaphorin (axon guidance),Plexin (semaphorin receptor),"Is an ortholog of human SEMA4D (semaphorin 4D). Exhibits semaphorin receptor binding activity. Is involved in several processes, including embryonic morphogenesis; generation of neurons; and male anatomical structure morphogenesis. Localizes to cell surface. Is expressed in several structures, including linker cell; ray neurons; ray precursor cell; somatic nervous system; and vulval cell. Human ortholog(s) of this gene are implicated in CHARGE syndrome; hypogonadotropic hypogonadism (multiple); and retinal degeneration (multiple).","Is an ortholog of human PLXNC1 (plexin C1) and PLXND1 (plexin D1). Exhibits semaphorin receptor activity. Is involved in several processes, including generation of neurons; nematode larval development; and nematode male tail tip morphogenesis. Localizes to cell leading edge and cell surface. Is expressed in several structures, including P3/4L; P9/10L; P9/10R; neuroblasts; and ray structural cell."
WBGene00003029,WBGene00000289,lin-44,cam-1,1.0,95,Wnt signaling,Wnt,Wnt-Receptor (Antagonistic activity),"Is an ortholog of human WNT10A (Wnt family member 10A) and WNT10B (Wnt family member 10B). Is predicted to have frizzled binding activity and receptor ligand activity. Is involved in several processes, including generation of neurons; nematode male tail tip morphogenesis; and neuroblast migration. Is expressed in several structures, including P6.pa; P6.pp; anchor cell; rectal epithelial cell; and tail. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).","Is an ortholog of human ROR1 (receptor tyrosine kinase like orphan receptor 1) and ROR2 (receptor tyrosine kinase like orphan receptor 2). Exhibits Wnt-protein binding activity; frizzled binding activity; and transmembrane receptor protein tyrosine kinase activity. Is involved in generation of neurons; neuroblast migration; and peptidyl-tyrosine phosphorylation. Localizes to several cellular components, including dendrite; neuromuscular junction; and neuronal cell body membrane. Is expressed in several structures, including QL.aa; body wall musculature; nervous system; pharynx; and seam cell. Human ortholog(s) of this gene are implicated in several diseases, including autosomal recessive nonsyndromic deafness (multiple); gastrointestinal system cancer (multiple); and hematologic cancer (multiple)."
WBGene00003395,WBGene00003007,mom-2,lin-18,1.0,101,Wnt signaling,Wnt,Ryk/Derailed,"Exhibits receptor tyrosine kinase binding activity. Is involved in several processes, including asymmetric protein localization involved in cell fate determination; embryonic morphogenesis; and generation of neurons. Is expressed in several structures, including HSN; Z2; Z3; anchor cell; and epithelial cell. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).","Is an ortholog of human RYK (receptor like tyrosine kinase). Is predicted to have ATP binding activity and protein kinase activity. Is involved in several processes, including asymmetric protein localization involved in cell fate determination; axis specification; and positive regulation of neurogenesis. Localizes to cytoplasm; nucleus; and plasma membrane. Is expressed in body wall musculature; neurons; and vulva."
WBGene00006324,WBGene00001609,sup-17,glp-1,1.0,106,Notch signaling,ADAM (facilitates lin-12 signaling),Notch,"Is an ortholog of human ADAM10 (ADAM metallopeptidase domain 10). Is predicted to have metalloendopeptidase activity. Is involved in several processes, including nematode male tail tip morphogenesis; positive regulation of transforming growth factor beta receptor signaling pathway; and vulval development. Localizes to cytoplasmic vesicle membrane and plasma membrane. Is expressed in M lineage cell; hypodermis; intestinal cell; spermatheca; and vulva. Human ortholog(s) of this gene are implicated in several diseases, including Alzheimer's disease 18; cone-rod dystrophy 9; and early infantile epileptic encephalopathy 61.","Is an ortholog of human NOTCH1 (notch receptor 1); NOTCH2 (notch receptor 2); and NOTCH3 (notch receptor 3). Exhibits RNA polymerase II transcription factor binding activity and transcription coactivator activity. Is involved in several processes, including maintenance of dauer; pharyngeal muscle development; and positive regulation of cell population proliferation. Localizes to several cellular components, including RNA polymerase II transcription factor complex; lateral plasma membrane; and spanning component of plasma membrane. Is expressed in several structures, including anus; germ line; neurons; somatic nervous system; and vulval precursor cell. Is used to study cancer. Human ortholog(s) of this gene are implicated in several diseases, including Adams-Oliver syndrome; Alagille syndrome; and CADASIL 1."
WBGene00003029,WBGene00000478,lin-44,cfz-2,1.0,112,Wnt signaling,Wnt,Frizzled,"Is an ortholog of human WNT10A (Wnt family member 10A) and WNT10B (Wnt family member 10B). Is predicted to have frizzled binding activity and receptor ligand activity. Is involved in several processes, including generation of neurons; nematode male tail tip morphogenesis; and neuroblast migration. Is expressed in several structures, including P6.pa; P6.pp; anchor cell; rectal epithelial cell; and tail. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).",Is an ortholog of human FZD5 (frizzled class receptor 5). Is predicted to have Wnt-activated receptor activity and Wnt-protein binding activity. Is involved in generation of neurons and neuroblast migration. Is expressed in intestine; nervous system; and pharynx. Human ortholog(s) of this gene are implicated in omodysplasia.
WBGene00016354,WBGene00006942,rig-6,wrk-1,1.0,118,Cell migration,Contactin (IgCAM),Ephrin co-receptor (IgCAM),"Is an ortholog of human CNTN4 (contactin 4) and CNTN6 (contactin 6). Is predicted to have cell-cell adhesion mediator activity. Is involved in several processes, including cell morphogenesis; negative regulation of defecation rhythm; and positive regulation of cellular component movement. Localizes to axon; neuronal cell body; and synapse. Is expressed in several structures, including excretory cell; muscle cell; neurons; rectal epithelium; and spermatheca. Human ortholog(s) of this gene are implicated in several diseases, including Compton-North congenital myopathy; MASA syndrome; and nonsyndromic deafness (multiple).","Is predicted to have axon guidance receptor activity. Is expressed in several structures, including SMDVL; body ganglion; head neurons; hermaphrodite distal tip cell; and interfacial epithelial cell. Human ortholog(s) of this gene are implicated in ovarian cancer."
WBGene00002280,WBGene00002081,let-2,ina-1,1.0,126,Cell adhesion,Collagen,Integrin,"Is an ortholog of human COL4A5 (collagen type IV alpha 5 chain) and COL4A6 (collagen type IV alpha 6 chain). Exhibits extracellular matrix structural constituent conferring tensile strength. Is involved in several processes, including embryo development; gonad morphogenesis; and regulation of distal tip cell migration. Localizes to collagen type IV trimer. Is expressed in several structures, including coelomocyte; egg-laying apparatus; rectal muscle; spermatheca; and tail.","Is an ortholog of human ITGA3 (integrin subunit alpha 3); ITGA6 (integrin subunit alpha 6); and ITGA7 (integrin subunit alpha 7). Exhibits transmembrane signaling receptor activity. Is involved in several processes, including cell-cell adhesion mediated by integrin; generation of neurons; and nematode male tail tip morphogenesis. Localizes to integrin complex and phagocytic cup. Is expressed in several structures, including distal tip cell; hermaphrodite gonad; male-specific anatomical entity; pharynx; and vulE. Is used to study epilepsy. Human ortholog(s) of this gene are implicated in several diseases, including congenital muscular dystrophy due to integrin alpha-7 deficiency; inherited blood coagulation disease (multiple); and junctional epidermolysis bullosa with pyloric atresia."
WBGene00004890,WBGene00004048,smp-2,plx-2,1.0,135,Cell migration,Semaphorin,Plexin (semaphorin receptor),"Is an ortholog of several human genes including SEMA6A (semaphorin 6A); SEMA6C (semaphorin 6C); and SEMA7A (semaphorin 7A (John Milton Hagen blood group)). Is predicted to have chemorepellent activity and semaphorin receptor binding activity. Is involved in nematode male tail mating organ morphogenesis. Is expressed in several structures, including hook; inner labial neurons; pharyngeal cell; ray; and vulval cell. Human ortholog(s) of this gene are implicated in CHARGE syndrome; hypogonadotropic hypogonadism (multiple); and retinal degeneration (multiple).","Is an ortholog of human PLXNC1 (plexin C1) and PLXND1 (plexin D1). Exhibits semaphorin receptor activity. Is involved in several processes, including generation of neurons; nematode larval development; and nematode male tail tip morphogenesis. Localizes to cell leading edge and cell surface. Is expressed in several structures, including P3/4L; P9/10L; P9/10R; neuroblasts; and ray structural cell."
WBGene00004264,WBGene00004210,qua-1,ptc-3,1.0,148,Hedgehog signaling,IHH,PTCH2,"Is an ortholog of human DHH (desert hedgehog signaling molecule); IHH (Indian hedgehog signaling molecule); and SHH (sonic hedgehog signaling molecule). Is involved in molting cycle and nematode larval development. Localizes to collagen and cuticulin-based cuticle extracellular matrix. Is expressed in several structures, including P1; P12; P2; excretory system; and hypodermal cell. Human ortholog(s) of this gene are implicated in several diseases, including 46 XY gonadal dysgenesis; bone development disease (multiple); and holoprosencephaly 3.","Is an ortholog of human PTCH1 (patched 1) and PTCH2 (patched 2). Is predicted to have hedgehog family protein binding activity; hedgehog receptor activity; and smoothened binding activity. Is involved in molting cycle. Localizes to apical plasma membrane and cytoplasmic vesicle. Is expressed in several structures, including CEP; cloaca; egg-laying apparatus; excretory duct; and preanal ganglion."
WBGene00004890,WBGene00004047,smp-2,plx-1,1.0,155,Cell migration,Semaphorin,Plexin (semaphorin receptor),"Is an ortholog of several human genes including SEMA6A (semaphorin 6A); SEMA6C (semaphorin 6C); and SEMA7A (semaphorin 7A (John Milton Hagen blood group)). Is predicted to have chemorepellent activity and semaphorin receptor binding activity. Is involved in nematode male tail mating organ morphogenesis. Is expressed in several structures, including hook; inner labial neurons; pharyngeal cell; ray; and vulval cell. Human ortholog(s) of this gene are implicated in CHARGE syndrome; hypogonadotropic hypogonadism (multiple); and retinal degeneration (multiple).","Is an ortholog of human PLXNA2 (plexin A2); PLXNA3 (plexin A3); and PLXNA4 (plexin A4). Exhibits semaphorin receptor activity. Is involved in epidermis development; male anatomical structure morphogenesis; and regulation of cellular component movement. Localizes to integral component of membrane and ruffle. Colocalizes with actin filament. Is expressed in several structures, including DA9; epithelial cell; non-striated muscle; somatic nervous system; and tail."
WBGene00004889,WBGene00004047,smp-1,plx-1,1.0,156,Cell migration,Semaphorin,Plexin (semaphorin receptor),"Is an ortholog of human SEMA6A (semaphorin 6A). Exhibits semaphorin receptor binding activity. Is involved in nematode male tail mating organ morphogenesis. Is expressed in several structures, including hermaphrodite distal tip cell; non-striated muscle; ray; somatic nervous system; and vulval cell. Human ortholog(s) of this gene are implicated in CHARGE syndrome; hypogonadotropic hypogonadism (multiple); and retinal degeneration (multiple).","Is an ortholog of human PLXNA2 (plexin A2); PLXNA3 (plexin A3); and PLXNA4 (plexin A4). Exhibits semaphorin receptor activity. Is involved in epidermis development; male anatomical structure morphogenesis; and regulation of cellular component movement. Localizes to integral component of membrane and ruffle. Colocalizes with actin filament. Is expressed in several structures, including DA9; epithelial cell; non-striated muscle; somatic nervous system; and tail."
WBGene00003029,WBGene00003006,lin-44,lin-17,1.0,158,Wnt signaling,Wnt,Frizzled,"Is an ortholog of human WNT10A (Wnt family member 10A) and WNT10B (Wnt family member 10B). Is predicted to have frizzled binding activity and receptor ligand activity. Is involved in several processes, including generation of neurons; nematode male tail tip morphogenesis; and neuroblast migration. Is expressed in several structures, including P6.pa; P6.pp; anchor cell; rectal epithelial cell; and tail. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).","Is an ortholog of human FZD4 (frizzled class receptor 4). Exhibits receptor tyrosine kinase binding activity. Is involved in several processes, including asymmetric protein localization involved in cell fate determination; axis specification; and generation of neurons. Localizes to neuron projection membrane. Is expressed in several structures, including P3.p male; P4.p male; PQR; epithelial cell; and male-specific anatomical entity. Human ortholog(s) of this gene are implicated in exudative vitreoretinopathy 1."
WBGene00006951,WBGene00004208,wrt-5,ptc-1,1.0,168,Hedgehog signaling,DHH,PTCH1,"Is predicted to have signaling receptor binding activity. Is expressed in several structures, including excretory system; hermaphrodite gonad; pharyngeal-intestinal valve; phasmid socket cell; and rectal valve cell. Human ortholog(s) of this gene are implicated in several diseases, including 46 XY gonadal dysgenesis; bone development disease (multiple); and holoprosencephaly 3.",Is an ortholog of human PTCH1 (patched 1) and PTCH2 (patched 2). Is predicted to have hedgehog family protein binding activity; hedgehog receptor activity; and smoothened binding activity. Is involved in molting cycle. Localizes to integral component of plasma membrane. Is used to study Parkinson's disease.
WBGene00002108,WBGene00000898,ins-25,daf-2,1.0,194,Insulin signaling,ILP,IGFR,Is predicted to have hormone activity. Is expressed in motor neurons; nerve ring neurons; and tail neurons.,"Is an ortholog of human IGF1R (insulin like growth factor 1 receptor); INSR (insulin receptor); and INSRR (insulin receptor related receptor). Exhibits PTB domain binding activity; SH2 domain binding activity; and protein kinase binding activity. Is involved in several processes, including dauer exit; regulation of cellular catabolic process; and regulation of gene expression. Localizes to several cellular components, including cytoplasmic vesicle; neuronal cell body; and spanning component of plasma membrane. Is expressed in amphid neurons; gonad; hypodermis; and nerve ring. Is used to study Parkinson's disease. Human ortholog(s) of this gene are implicated in several diseases, including gastrointestinal system cancer (multiple); hematologic cancer (multiple); and synostosis (multiple)."
WBGene00002246,WBGene00001609,lag-2,glp-1,1.0,208,Notch signaling,DLL,Notch,"Exhibits Notch binding activity. Is involved in several processes, including maintenance of dauer; positive regulation of stem cell proliferation; and regulation of vulval development. Localizes to cell projection membrane; integral component of plasma membrane; and neuronal cell body membrane. Is expressed in several structures, including distal tip cell; germ line; hypodermal cell; neurons; and vulval cell.","Is an ortholog of human NOTCH1 (notch receptor 1); NOTCH2 (notch receptor 2); and NOTCH3 (notch receptor 3). Exhibits RNA polymerase II transcription factor binding activity and transcription coactivator activity. Is involved in several processes, including maintenance of dauer; pharyngeal muscle development; and positive regulation of cell population proliferation. Localizes to several cellular components, including RNA polymerase II transcription factor complex; lateral plasma membrane; and spanning component of plasma membrane. Is expressed in several structures, including anus; germ line; neurons; somatic nervous system; and vulval precursor cell. Is used to study cancer. Human ortholog(s) of this gene are implicated in several diseases, including Adams-Oliver syndrome; Alagille syndrome; and CADASIL 1."
WBGene00000185,WBGene00003001,arg-1,lin-12,1.0,210,Notch signaling,DLL,Notch,Is expressed in head; head mesodermal cell; non-striated muscle; somatic gonad precursor; and tail. Is predicted to encode a protein with the following domains: Delta serrate ligand; EGF-like domain; and Delta/Serrate/lag-2 (DSL) protein.,"Is an ortholog of human NOTCH4 (notch receptor 4). Exhibits RNA polymerase II transcription factor binding activity. Is involved in several processes, including nematode larval development; oviposition; and positive regulation of mesodermal cell fate specification. Localizes to RNA polymerase II transcription factor complex and apical plasma membrane. Is expressed in several structures, including body wall muscle cell from M lineage; gonadal sheath cell; somatic nervous system; vulval cell; and vulval precursor cell."
WBGene00006852,WBGene00006745,unc-129,unc-5,1.0,226,Cell migration,BMP non-canonical,Immunoglobulin,"Is an ortholog of human BMP3 (bone morphogenetic protein 3) and GDF10 (growth differentiation factor 10). Exhibits signaling receptor binding activity. Is involved in several processes, including backward locomotion; cell morphogenesis; and inductive cell migration. Is expressed in several structures, including CAN; PDE socket cell; body wall musculature; cholinergic neurons; and terminal bulb.","Is an ortholog of human UNC5A (unc-5 netrin receptor A); UNC5B (unc-5 netrin receptor B); and UNC5C (unc-5 netrin receptor C). Exhibits netrin receptor activity and protein tyrosine kinase binding activity. Is involved in several processes, including establishment or maintenance of actin cytoskeleton polarity; generation of neurons; and nematode male tail tip morphogenesis. Localizes to axonal growth cone. Is expressed in several structures, including distal tip cell; excretory canal; head neurons; motor neurons; and somatic nervous system."
WBGene00000936,WBGene00020649,dbl-1,sma-10,1.0,227,TGF-B signaling,BMP5,TGF-B-R,"Is an ortholog of human BMP10 (bone morphogenetic protein 10). Is predicted to have BMP receptor binding activity; cytokine activity; and protein serine/threonine kinase activator activity. Is involved in several processes, including defense response to other organism; nematode male tail tip morphogenesis; and positive regulation of macromolecule biosynthetic process. Is expressed in body wall musculature; nervous system; pm2 precursor; and in male. Is used to study Marfan syndrome. Human ortholog(s) of this gene are implicated in situs inversus.","Is an ortholog of human LRIG1 (leucine rich repeats and immunoglobulin like domains 1); LRIG2 (leucine rich repeats and immunoglobulin like domains 2); and LRIG3 (leucine rich repeats and immunoglobulin like domains 3). Exhibits type I transforming growth factor beta receptor binding activity and type II transforming growth factor beta receptor binding activity. Is involved in several processes, including positive regulation of transforming growth factor beta receptor signaling pathway; regulation of mesodermal cell fate specification; and transforming growth factor beta receptor signaling pathway. Localizes to integral component of plasma membrane. Human ortholog(s) of this gene are implicated in congenital stationary night blindness 1F and familial temporal lobe epilepsy 1."
